21 81
-2.317082230901886e-02 2.556022194440469e-02 0.000000000000000e+00
-2.264329365610936e-02 2.652114091624832e-02 0.000000000000000e+00
-2.210308069714228e-02 2.747420020994470e-02 0.000000000000000e+00
-2.155115242733227e-02 2.841963613973393e-02 0.000000000000000e+00
-2.098720676509595e-02 2.935703112026441e-02 0.000000000000000e+00
-2.041302636382979e-02 3.028711510631458e-02 0.000000000000000e+00
-1.982779018866786e-02 3.120919321941882e-02 0.000000000000000e+00
-1.923290485715041e-02 3.212383945614481e-02 0.000000000000000e+00
-1.862907113002090e-02 3.303125501783849e-02 0.000000000000000e+00
-1.801553057501735e-02 3.393077469004065e-02 0.000000000000000e+00
-1.739381306446976e-02 3.482311884635653e-02 0.000000000000000e+00
-1.676435465817101e-02 3.570837066161320e-02 0.000000000000000e+00
-1.612704631601228e-02 3.658627462855328e-02 0.000000000000000e+00
-1.548231385147373e-02 3.745691703587298e-02 0.000000000000000e+00
-1.483096815750327e-02 3.832064743587008e-02 0.000000000000000e+00
-1.417334010220324e-02 3.917751834464755e-02 0.000000000000000e+00
-1.350975176319480e-02 4.002758376300335e-02 0.000000000000000e+00
